ObjectName,Summary,Supported Calls,Special Access Rules,Usage,Associated Objects,Additional Considerations and Related Objects
ServiceChannelStatus,Represents the status that’s associated with a specific servicechannel. This object is available in API version 32.0 and later.,"create(), delete(),  query(), update(),  retrieve()","To access this object, ",,,
ServiceChannelStatusField,Represents the values that you use to indicate completed and in-progress work item status for the status field in the Status-Based Capacity routing model.  This object is available in API version 49.0 and later.,"create(), delete(), describeSObjects(), query(), retrieve(), update(), upsert()","To access this object, ",,,
ServiceContract,Represents a customer support contract (business agreement). This object is available in API version 18.0 and later.,"create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), search(), undelete(), update(), upsert()",,,"This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
ServiceContractOwnerSharingRule,Represents the rules for sharing a ServiceContract (customer service agreement) with users other than the owner.   This object is available in API version 18.0 and later.,"create(), delete(), describeSObjects(), getDeleted(),  getUpdated(), query(), retrieve(), update(), upsert()",,Use this object to manage the sharing rules for a service contract. General sharing and territory management-related sharing use this object.,,
ServiceCrew,Represents a group of service resources who can be assigned to service appointments as a unit.,"create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), search(), undelete(), update(), upsert()",Field Service must be enabled.,,"This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
ServiceCrewMember,Represents a technician service resource that belongs to a service crew.,"create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), search(), undelete(), update(), upsert()",Field Service must be enabled.,,"This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
ServiceCrewOwnerSharingRule,Represents the rules for sharing a service crew with user records other than the owner or anyone above the owner in the role hierarchy.,"describeSObjects(), getDeleted(), getUpdated(), query(), retrieve()",Field Service must be enabled.,,,
ServicePresenceStatus,Represents a presence status that can be assigned to a service channel.   This object is available in API version 32.0 and later.,"create(), delete(),  query(), update(),  retrieve()","To access this object, ",,,
ServiceReport,"Represents a report that summarizes a work order, work order line item, or service appointment.","create(), delete(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), undelete()",Field Service must be enabled.,,"This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
ServiceReportLayout,Represents a service report template in field service.,"describeSObjects(), query(), retrieve()",Field Service must be enabled. All users with Field Service Standard user permission can view the ServiceReportLayout object via the API.,,,
ServiceResource,Represents a service technician or service crew in field service in Field Service and Lightning Scheduler. This object is available in API version 38.0 and later.,"create(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), search(), update(), upsert()",Field Service must be enabled.,,"This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
ServiceResourceCapacity,Represents the maximum number of scheduled hours or number of service appointments that a capacity-based service resource can complete within a specific time period. This object is available in API version 38.0 and later.,"create(), delete(), describeLayout(), getDeleted(), getUpdated(), query(), retrieve(), search(), update(), upsert()",Field Service must be enabled.,,"This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
ServiceResourceCapacityHistory,Represents the history of changes made to tracked fields on a serviceresource capacity record. This object is available in API version 38.0 and   later.,"getDeleted(), getUpdated(), query(), retrieve()","Field Service must be enabled in your organization, and field tracking for service resource capacity fields must be configured.",,,
ServiceResourceOwnerSharingRule,Represents the rules for sharing a service resource with user recordsother than the owner or anyone above the owner in the role hierarchy. This object is   available in API version 38.0 and later.,"create(), delete(), describeSObjects(), getDeleted(),  getUpdated(), query(), retrieve(), update(), upsert()",,,,
ServiceResourceSkill,Represents a skill that a service resource possesses in Field Service and Lightning Scheduler. This object is available in API version 38.0 and later.,"create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), search(), update(), upsert()",Field Service must be enabled.,,"This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
ServiceTerritory,Represents a geographic or functional region in which field service work can be performed in Field Service and Lightning Scheduler. This object is available in API version 38.0 and later.,"create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), search(), undelete(), update(), upsert()",Field Service must be enabled.,,"This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
ServiceTerritoryLocation,Represents a location associated with a particular service territory in field service.,"create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), undelete(), update(), upsert()",Field Service must be enabled.,,"This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
ServiceTerritoryMember,Represents a service resource who can be assigned to service appointments in a service territory in Field Service and Lightning Scheduler. This object is available in API version 38.0 and later.,"create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), search(), update(), upsert()",Field Service must be enabled.,,"This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
ServiceTerritoryWorkType,Represents the relationship between a ServiceTerritory object and a      WorkType object for Lightning Scheduler appointments. This object is available in API   version 45.0 and later.,"create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), search(), undelete(), update(), upsert()",,,"This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
SessionPermSetActivation,"The SessionPermSetActivation object represents apermission set assignment activated during an individual user session. When a SessionPermSetActivation object is inserted into apermission set, an activation event fires, allowing the permission settings to apply to theuser’s specific session. This object is available in API versions 37.0 and   later.","describeLayout(), query(), retrieve()",,"Use SessionPermSetActivation to create a permission set available only for a specified session’s duration. For example, create permission sets that provide access to specific applications only during authenticated sessions.",,
SetupAuditTrail,Represents changes you or other admins made in your org’s Setup area for at least the last 180 days. This object is available   in API version 15.0 and later.,,,,,
SetupEntityAccess,Represents the enabled setup entity access settings (such as for Apex classes) for the parent PermissionSet. This object is      available in API version 25.0 and later.,"create(), delete(), describeSObjects(), query(), retrieve()","As of Spring ’20 and later, only users with ""View Setup and Configuration"" permission can access this object.","Because SetupEntityAccess is a child of the PermissionSet object, the usage is similar to other PermissionSet child objects like FieldPermissions and ObjectPermissions.",,
ShapeRepresentation,"Contains information about the shape of an org. The shape of an org includes   features, settings, licenses, and limits information. You can easily create scratch orgs based   on a source org’s shape. This object is available in API version 50.0 and later.","create(),  delete(),  describeLayout(),  describeSObjects(),  getDeleted(), getUpdated(),  query(),  retrieve(),  undelete(),  update(),  upsert()",,,,
Shift,Represents a shift for service resource scheduling. Available in   API versions 46.0 and later.,"create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), search(), undelete(), update(), upsert()",Field Service must be enabled. Users must have Field Service permission.,"Scheduling and dispatching service resources using shift data is not supported in API version 46.0, and is a pilot feature in API version 47.0.","This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
ShiftHistory,Represents the history of changes made to tracked fields on a time      sheet. Available in API versions 46.0 and later.,"describeSObjects(), getDeleted(), getUpdated(), query(), retrieve()","Field Service must be enabled in your organization, and field tracking for shift fields must be configured.",Scheduling and dispatching service resources using shift data is not supported in API version 46.0.,,
ShiftOwnerSharingRule,Represents the rules for sharing a shift with user records other than      the owner or anyone above the owner in the role hierarchy. Available in API versions   46.0 and later.,"describeSObjects(), getDeleted(), getUpdated(), query(), retrieve()",,Scheduling and dispatching service resources using shift data is not supported in API version 46.0.,,
ShiftShare,Represents a sharing entry on a field service shift. Available   in API versions 46.0 and later.,"create(), delete(), describeSObjects(), query(), retrieve(), update(), upsert()",Field Service must be enabled.,Scheduling and dispatching service resources using shift data is not supported in API version 46.0.,,
ShiftStatus,"Represents a shift, such as Tentative, Published, or Confirmed.   Available in API versions 46.0 and later.","describeSObjects(), query(), retrieve()",Field Service must be enabled.,Scheduling and dispatching service resources using shift data is not supported in API version 46.0.,,
Shipment,Represents the transport of inventory in field service.,"create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), search(), undelete(), update(), upsert()",Field Service must be enabled.,,"This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
SignupRequest,Represents a request for a new signup. This object is available in API version 27.0 and later.,"create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), undelete()",,The Java class uses the REST API to create a SignupRequest object. It authenticates to the Trialforce Management Organization and then posts a request to the SignupRequest object.,"This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
Site,Represents a public website that is integrated with an org. This object is available in API version 16.0 and later.,"describeSObjects(), query(), retrieve()",,Use this read-only object to query or retrieve information on your Salesforce site.,"This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
SiteDetail,Represents the details of a site/community. Available in API   Version 38.0 and later.,,,,,
SiteDomain,"SiteDomain is a read-only object, and a one-to-many replacement for the Site.TopLevelDomain field.   This object is available in API version 21.0, and has been deprecated as of API version26.0. In API version 26.0 and later, use the ","describeSObjects(), query(), retrieve()",,Use this read-only object to query the custom Web addresses that are associated with each website in your organization.,,
SiteHistory,Represents the history of changes to     the values in the fields of a site. This object is generally available in API version 18.0 and later.,"describeSObjects(), getDeleted(), getUpdated(), query(),retrieve()",,,,
SiteIframeWhitelistUrl,Represents a list of external domains that you allow to frame your site or community pages. This object is available in API version 44.0 and later.,"create(), delete(), describeSObjects(), query(), retrieve(), update(), upsert()",,,,
Skill,Represents a category or group that Chat users or field serviceresources can be assigned to. This object is available in API version 24.0 and   later.,"create(), describeSObjects(), query(), retrieve(), update(), upsert()",,,,
SkillProfile,Represents a join between Skill and Profile. This object is   available in API version 24.0 and later.,"create(), delete(),  describeSObjects(), query(), update(), retrieve()",,Use this object to assign specific skills to specific profiles.,,
SkillRequirement,"Represents a skill that is required to complete a particular task in Field Service and Lightning Scheduler. Skill requirements can be added to work types, work orders, and work order line items in Field Service and Lightning Scheduler. This object is available in API version 38.0 and later. You also can add skill requirements to work items in Omni-Channel skills-based routing using API version 42.0 and later.","create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), search(), update(), upsert()","If you want to use SkillRequirement for Field Service use cases, then Field Service must be enabled.","Skill requirements help dispatchers assign work orders to service resources with the proper expertise. You can still assign a work order, work order line item, or related service appointment to a service resource that does ","This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
SkillUser,Represents a join between Skill and User. This object is available in API version 24.0 and later.,"create(), delete(),  describeSObjects(), update(), query(), retrieve()",,Use this object to assign specific skills to specific users.,,
SlaProcess,Represents an entitlement process associated with an Entitlement.   This object is available in API version 19.0 and later.,"describeSObjects(), query(), retrieve(), search(), describeLayout()","As of Summer ’20 and later, only Salesforce admin users, users with access to the Case, Entitlement, or Work Order objects, and users with the View Setup and Configuration permission can access this object.",Use this object to query entitlement processes on entitlements.,,
Snippet,"Represents a snippet, which is a container for rich text that can be reused across Pardot emails and email templates. This object is available in API version 47.0 and later.","create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), search(), undelete(), update(), upsert()","Snippets are available in Pardot accounts with the Sales, CRM, or Service permission set license.",,"This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
SnippetAssignment,Represents a relationship between a snippet and a campaign. Assignments are required to use snippet content in Pardot emails and email templates. A snippet can be assigned to more than one campaign. This object is available in API version 47.0 and later.,"create( ), delete( ), describeLayout( ), describeSObjects( ), getDeleted( ), getUpdated( ), query( ), retrieve( )","Snippets are available in Pardot accounts with the Sales, CRM, or Service permission set license.",,,
SocialPersona,Represents a snapshot of a contact's profile on a social network such as Facebook or Twitter. This object is available in API version 22.0 and later.,"create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), search(), undelete(), update(), upsert()",,,"This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
SocialPost,Represents a snapshot of a post on a social network such as a Facebook or Twitter. This object is available in API version 23.0 and later.,"create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), search(), undelete(), update(), upsert()",,,"This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
Solution,Represents a detailed description of a customer issue and theresolution of that issue.,"create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), search(), undelete(), update(), upsert()",,"Use this object to manage your organization’s solutions. Client applications can create, update, delete, and query Attachment records associated with a solution.","This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
SolutionStatus,"Represents the status of a Solution,such as Draft, Reviewed, and so on.","describeSObjects(), query(), retrieve()",,"This object represents a value in the solution status picklist. The solution status picklist provides additional information about the status of a Solution, such as whether a given status value represents a reviewed or unreviewed solution. Your client application can query this object to retrieve the set of values in the solution status picklist, and then use that information while processing Solution objects to determine more information about a given solution. For example, the application could test whether a given case has been reviewed or not based on its Status value and the value of the IsReviewed property in the associated SolutionStatus record.",,
SolutionTag,Associates a word or short phrase with a Solution.,"create(), delete(), describeSObjects(), query(), retrieve()",,"SolutionTag stores the relationship between its parent TagDefinition and the Solution being tagged. Tag objects act as metadata, allowing users to describe and organize their data.",,
SOSDeployment,Represents the general settings for deploying SOS video call capability in a native mobile application. This object is available in API version 34.0 and later.,"create(), describeSObjects(), query(), retrieve(), update(), upsert()",,Use this object to query and manage SOS deployments.,,
SOSSession,This object is automatically created for each SOS session and stores information about the session. This object is available in API versions 34.0 and later.,"create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), search(), undelete(), update(), upsert()",,Use this object to query and manage SOS session records.,"This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
SOSSessionActivity,"Captures information about specific events that occur during an SOS video call, such as when an SOS call begins or ends. This object is available in API version 34.0 and later.","create(), delete(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), undelete(), update(), upsert()",,Use this object to query and manage SOS session activities.,,
Stamp,Represents a User Specialty. This object is available in API version 39.0  and later.,"describeSObjects(), query(), retrieve()",,,,
StampAssignment,Represents assignment of a User Specialty to a user. This object is available in API version 39.0  and later.,"describeSObjects(), query(), retrieve()",,,,
StaticResource,Represents a static resource that can be used in Visualforce markup. ,"create(), delete(), describeSObjects(), getDeleted(),  getUpdated(), query(), retrieve(), search(), update(), upsert()",,,,
StoreIntegratedService,Represents   an association between an integration and a store. This object is available in API version 49.0 and later. ,"create(), delete(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), undelete(),update(), upsert()",The StoreIntegratedService object is available only if the B2B Commerce on Lightning     Experience license is enabled. ,,,
StreamingChannel,Represents a channel that is the basis for notifying listeners of generic   Streaming API events. This object is available in API version 29.0 and later.,"create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(),undelete(), update(), upsert()",,,,
Salesforce Surveys Object Model,Learn about how Salesforce Surveys objects relate to one another inSalesforce.,,,,,
Survey,Represents a survey.,"describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(),  retrieve(), search()",,,"This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
SurveyEmailBranding,Represents the configuration settings for invitation emails sent to survey participants for a particular survey.,"create(), delete(), describeLayout(), describeSObjects(), query(), retrieve(), update(), upsert()","As of Spring ’20 and later, only users with the View Setup and Configuration permission can access this object.",,,
SurveyEngagementContext,Represents the context based on which a survey invitation was sent or a survey   response was received. This object is available in API version 49.0 and later. ,"create(), delete(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), undelete(),update(), upsert()",,,"This object has the following associated objects. Unless noted, they are available in the     same API version as this object.",
SurveyInvitation,Represents the invitation sent to a participant to complete the survey.,"create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), undelete(), update(), upsert()",,,"This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
SurveyPage,"Represents a page, such as the title page or a question page, in a      survey.","getDeleted(), getUpdated(), query(), retrieve()",,,,
SurveyQuestion,Represents a question in a survey.,"describeLayout()describeSObjects()getDeleted(),    getUpdated(), query(), retrieve()",,,,
SurveyQuestionChoice,Represents an answer choice that a participant can select for a      survey question.,"describeLayout(), getDeleted(), getUpdated(), query(), retrieve()",,,,
SurveyQuestionResponse,Represents a participant’s answer to a specific question.   ,"describeLayout(), describeSObjects(), getDeleted(),    getUpdated(), query(), retrieve()",,,,
SurveyQuestionScore   ,"Represents the aggregate of responses for the following question types: date,   multiple choice, picklist, radio, ranking, rating, scoring, slider, and ","     describeSObjects(), getDeleted(), getUpdated(), query(), retrieve()   ",,,,
SurveyResponse,"Represents information about a participant’s response to a survey, such as the status of the response, the participant’s location, and when the survey was completed.","describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), undelete()",,,,
SurveySubject,"Represents a relationship between a survey and another object, such as an account or a case.","create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), undelete(), update(), upsert()",,,,
SurveyVersion,Represents a version of a survey.,"describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), search()",,,,
SurveyVersionAddlInfo,Represents additional information about the a survey version. This information   defines the default settings of a survey version. This object is available in API version 49.0 and later. ,"describeSObjects(), getDeleted(), getUpdated(), query(), retrieve()",,,,
TabDefinition,Represents a custom tab. Returns only the tabs that the current user has access to. This object is available in API version 43.0 and later.,"describeSObjects(), query(), search()",,,,
TagDefinition,Defines the attributes of child Tag objects.,"delete(), describeSObjects(), query(), retrieve(), search(), undelete(),update()","As of Summer ’20 and later, only authenticated internal and external users can access this     object.",Each TagDefinition record has a one-to-many relationship with its child tag records.,,
Task,"Represents a business activity such as making a phone call or other to-do items. In the user interface, Task and Event records are collectively referred to as activities.","create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), search(), undelete(), update(), upsert()",,,"This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
TaskPriority,"Represents the importance or urgency of a Task, such asHigh, Normal, or Low.","describeSObjects(), query(), retrieve()",Customer and Partner Portal users can’t access this object.,"This object represents a value in the task priority picklist. The task priority picklist provides additional information about the importance of a Task, such as whether a given priority value represents a high priority. Your client application can query on this object to retrieve the set of values in the task priority picklist, and then use that information while processing Task objects to determine more information about a given task. For example, the application could test whether a given Task is high priority based on its Priority value and the value of the IsHighPriority in the associated TaskPriority object.",,
TaskRelation,"Represents the relationship between a     task and a lead, contacts, and other objects related to the task. If Shared     Activities is enabled, this object doesn’t support triggers, workflow, or data     validation rules.     This object is available in API version 24.0 and later.","create(),  delete(),  describeSObjects(),  getDeleted(),  getUpdated(),  query(),  queryAll(), retrieve()",,,,
TaskStatus,"Represents the status of a Task, such asNot Started, Completed, or Closed.","describeSObjects(), query(), retrieve()",,"This object represents a value in the task status picklist. The task status picklist provides additional information about the status of a Task, such as whether a given status value represents an open or closed task. Your client application can   query this object to retrieve the set of values in the task status picklist, and then use that information while processing Task records to determine more information about a given task. For example, the application could test whether a given task is open or closed based on the Task Status value and the value of the IsClosed property in the associated TaskStatus record.",,
TaskTag,Associates a word or short phrase with a Task.,"create(), delete(), describeSObjects(), query(), retrieve()",,"TaskTag stores the relationship between its parent TagDefinition and the Task being tagged. Tag objects act as metadata, allowing users to describe and organize their data.",,
TaskWhoRelation,Represents the relationship     between a task and a lead or contacts.      This object is available in API version 29.0 and later.,"describeSObjects(), query(), retrieve()",,,,
TenantSecret,This object stores an encrypted organization-specific key fragment that is used with the master secret to produce organization-specific data encryption keys.   This object is available in API version 34.0 and later.,"create(), query(), retrieve(), update()",,Use this object to create or update an org-specific tenant secret or customer-supplied key material. ,,
Territory,"Represents a flexible collection of accounts and users where the users   have at least read access to the accounts, regardless of who owns the accounts. Only available if territory management has been enabled for your organization.","create(),delete(),describeSObjects(), getDeleted(), getUpdated(), query(),retrieve(), update(),upsert()","As of Spring ’20 and later, only standard and partner users can access this object, and     only users with the Manage Territories permission can edit this object.",Use the Territory object to query your organization’s territory hierarchy. Use it to obtain valid     territory IDs when querying or modifying records associated with territories.,,
Territory2,Represents a sales territory. Available only if Enterprise   Territory Management has been enabled for your organization.,"create(), delete(), describeLayout(), describeSObjects(), query(), retrieve(), update(), upsert()","As of Summer ’20 and later, only standard and partner users can access this object. If a territory model is in ",,,
Territory2Model,Represents a territory model. Available only if Enterprise Territory Management has been enabled for your organization.,"create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), update(), upsert()","As of Summer ’20 and later, only standard and partner users can access this object. If a territory model is in ",,"This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
Territory2ModelHistory,Represents the history of changes to the values in the fields on aterritory model. Available only if Enterprise Territory Management has been enabled for your   organization.,"describeSObjects(), getDeleted(), getUpdated(), query(), retrieve()",,This object is automatically generated whenever any field value changes on a territory model record. Use this object it to identify those changes.,,
Territory2Type,Represents a category for territories (Territory2). Every Territory2must have a Territory2Type. Available only if Enterprise Territory Management has been   enabled for your organization.,"create(), delete(), describeSObjects(), query(), retrieve(), update(), upsert()","As of Summer ’20 and later, only standard and partner users can access this object.",,,
TestSuiteMembership,Associates an Apex class with an ApexTestSuite.This object is available in API version 36.0 and later.,"create(), delete(),  describeSObjects(), query(), retrieve(), update(), upsert()","The enableApexTestReqViewSetup field on the ApexSettings metadata type controls the activation of the critical update “Require View Setup permission to access Apex test data”. In API version 49.0 and later, when the field is set to true, users must have the View Setup and Configuration permission to access this object.",,,
ThirdPartyAccountLink,Represents the list of external users who authenticated using an Auth. Provider. This object is available in API version 32.0 and later.,"describeSObjects(), query()",,"Administrators (with the “Manage Users” permission) querying this object can see all the links for all users in the organization. Without the “Manage Users” permission, users can only retrieve their own links. A user might not have access to the SsoProvider value (the foreign key). In this case, use the SsoProviderName to render the name of the provider for the associated link.",,
ThreatDetectionFeedback,"Represents feedback provided by a user about a Threat Detection event that   occurred in your org. The feedback specifies whether the event was malicious, suspicious, not   a threat, or unknown. Each ThreatDetectionFeedback object is associated with one of these   Threat Detection storage events: CredentialStuffingEventStore, ReportAnomalyEventStore, or   SessionHijackingEventStore. This object is available in API version 49.0 and later. "," create(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), update(), upsert() ",,,,
TimeSheet,Represents a schedule of a service resource’s time in field service. This object is available in API v47.0 and later.,"create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), search(), undelete(), update(), upsert()",Field Service must be enabled.,,"This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
TimeSheetEntry,Represents a span of time that a service resource spends on a field service task. This object is available in API version 47.0 and later. ,"create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), search(), undelete(), update(), upsert()",Field Service must be enabled.,,"This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
TimeSlot,Represents a period of time on a specified day of the week during whichfield service work can be performed in Field Service and Lightning Scheduler. Operatinghours consist of one or more time slots. This object is available in API version 38.0 and   later.,"create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), update(), upsert()",,,,
TimeSlotHistory,Represents the history of changes made to tracked fields on a timeslot. This object is available in API version 38.0 and later.,"getDeleted(), getUpdated(), query(), retrieve()","Field Service must be enabled in your organization, and field tracking for time slot fields must be configured.",,,
Topic,Represents a topic on a Chatter post or record. ,"create(), delete(), describeSObjects(), query(), retrieve(), search(), update(), upsert()",,"Use this object to query a specific topic or to get a list of all topics, even those used solely in private groups and on records, and the number of people talking about them.","This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
TopicAssignment,"Represents the assignment of a topic to a specific feed item, record,or file. ","create(), describeSObjects(), delete(), getDeleted(), getUpdate(),  query(), retrieve()",,"Use this object to query the assignments of topics to feed items, records, or files. To assign or remove topics, you must have the “Assign Topics” permission.",,
TopicLocalization—Beta,Represents the translated version of a topic name. Topic localization applies only to navigational and featured topics in communities. This object is available in API version 33.0 and later.,"create(), delete(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), update(), upsert()","Users with the Translation Workbench enabled can view topic translations, but the “Customize Application,” “Manage Translation,” or “Manage Categories” permission is required to create or update them.",,,
TopicUserEvent,"Represents an action (such as comment, post, like, or share) made by auser on a topic. This object is available in API version 42.0 and later.","delete(), describeSObjects(), query(), retrieve()",Only users with the “Modify All Data” permission can view and delete these data.,,,
TransactionSecurityPolicy,Represents a transaction security policy definition.,"create(), delete(), query(), retrieve(), update(), upsert()",,,,
Translation,The Translation object represents the languages enabled for translation in your   Salesforce org. This object is available in API version 47.0 and later.,"create(), describeSObjects(), query(), retrieve(), update(),upsert()",,,,
TwoFactorInfo,Stores a user’s secret for multi-factor operations. Use this object when customizing multi-factor authentication in your organization. (Note that multi-factor authentication was formerly called two-factor authentication.) This object is available in API version 32.0 and later.,"create(), delete(), describeSObjects(), query(), retrieve(), update(), upsert()",You need the Manage Multi-Factor Authentication in API permission to create or update this object.,,,
TwoFactorMethodsInfo,Stores information about which identity verification methods a user has registered. This object is available in API version 37.0 and later.,"describeSObjects(), query()",You need the Manage Multi-Factor Authentication in API permission to access this object. (Note that multi-factor authentication was formerly called two-factor authentication.),,,
TwoFactorTempCode,Stores information about a user’s temporary verification code for confirming their identity when logging in. This object is available in API version 37.0 and later.,"describeSObjects(), query(), retrieve()",You need the Manage Multi-Factor Authentication in API permission to access this object. (Note that multi-factor authentication was formerly called two-factor authentication.),,,
UiFormulaCriterion,Represents a filter that helps define component visibility on a      Lightning page. This object is available in API version 47.0 and later.,"describeSObjects(), query(), retrieve()",,,,
UiFormulaRule   ,Represents a set of one or more filters that define the conditions under which   a component displays on a Lightning page. This object is available in API version 47.0 and later. ,"describeSObjects(), query(), retrieve()",,,,
UndecidedEventRelation,Represents     event     participants     (invitees or attendees) with the status Not Responded for a given event.     This object is available in API versions 29.0 and later.,"describeSObjects(), query(), retrieve()",,,,
User,Represents a user in your organization.,"create(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), search(), update(), upsert()",,"Use this object to query information about users and to provision and modify users in your organization. Unlike other objects, the records in the User table represent actual users—not data owned by users. Any user can query or describe User records. ","This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
UserAccountTeamMember,Represents a User on the default account team of another User.,"create(), delete(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), update(), upsert()",,"This object is available only in organizations that have enabled the account teams functionality, which can be done using the  user interface.",,
UserAppInfo,Stores the last Lightning app logged in to. ,"create(), delete(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), undelete(), update(), upsert()",,,,
UserAppMenuCustomization,Represents an individual user’s settings for items in the app menu or App Launcher. ,"create(), delete(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), undelete(), update(), upsert()",,See the AppMenuItem object for the organization-wide default settings This object contains the fields representing any changes the user made to the menu.,"This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
UserAppMenuItem,Represents the organization-wide settings for items in the app menu or App Launcher that the requesting user has access to in Setup. ,"describeLayout(), describeSObjects(), query(), search()",,See the AppMenuItem object for the organization-wide default settings This object contains the fields the requesting user has permission to see.,,
UserConfigTransferButton,Represents the association between a Chat configuration and a live chat   button. This association allows users associated with a specific configuration to transfer   chats to a button queue.,"create(), delete(), describeSObjects(), query(), retrieve(),update(), upsert()","As of Summer ’20 and later, only authenticated internal and external users can access this     object.",,,
UserConfigTransferSkill,Represents the association between a Chat configuration and a skill.   This association allows users associated with a specific configuration to transfer chats to   agents who have that skill.,"create(), delete(), describeSObjects(), query(), retrieve(), update(), upsert()",,,,
UserCustomBadge,Represents a custom badge for a user. This object is available in API version 38.0 and later.,"create(), delete(), describeSObjects(), query(), retrieve(), update(), upsert()",,,,
UserCustomBadgeLocalization,Represents the translated version of a custom badge for a user. This object is available in API version 38.0 and later.,"create(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), update()",,,,
UserDevice,Represents information unique to a device. Available in API version 43.0 and later.,"describeSObjects(), getDeleted(), getUpdated(), query(), retrieve()",You must have View Devices enabled to see devices.,,,
